"Date","Time","Energy","DateTime","timestamp"
2023-09-01,"01:00:00",2800,2023-09-01 01:00:00,1.693512e+12
2023-09-01,"02:00:00",2800,2023-09-01 02:00:00,1693515600000
2023-09-01,"03:00:00",2800,2023-09-01 03:00:00,1693519200000
2023-09-01,"04:00:00",2400,2023-09-01 04:00:00,1693522800000
2023-09-01,"05:00:00",2800,2023-09-01 05:00:00,1693526400000
2023-09-01,"06:00:00",2800,2023-09-01 06:00:00,1.69353e+12
2023-09-01,"07:00:00",2800,2023-09-01 07:00:00,1693533600000
2023-09-01,"08:00:00",2800,2023-09-01 08:00:00,1693537200000
2023-09-01,"09:00:00",2800,2023-09-01 09:00:00,1693540800000
2023-09-01,"10:00:00",2800,2023-09-01 10:00:00,1693544400000
2023-09-01,"11:00:00",2800,2023-09-01 11:00:00,1.693548e+12
2023-09-01,"12:00:00",2900,2023-09-01 12:00:00,1693551600000
2023-09-01,"13:00:00",2900,2023-09-01 13:00:00,1693555200000
2023-09-01,"14:00:00",2900,2023-09-01 14:00:00,1693558800000
2023-09-01,"15:00:00",2800,2023-09-01 15:00:00,1693562400000
2023-09-01,"16:00:00",2800,2023-09-01 16:00:00,1.693566e+12
2023-09-01,"17:00:00",2800,2023-09-01 17:00:00,1693569600000
2023-09-01,"18:00:00",2800,2023-09-01 18:00:00,1693573200000
2023-09-01,"19:00:00",2800,2023-09-01 19:00:00,1693576800000
2023-09-01,"20:00:00",2800,2023-09-01 20:00:00,1693580400000
2023-09-01,"21:00:00",2800,2023-09-01 21:00:00,1.693584e+12
2023-09-01,"22:00:00",2400,2023-09-01 22:00:00,1693587600000
2023-09-01,"23:00:00",2400,2023-09-01 23:00:00,1693591200000
2023-09-01,"24:00:00",2400,2023-09-02,1693594800000
2023-09-02,"01:00:00",2400,2023-09-02 01:00:00,1693598400000
2023-09-02,"02:00:00",2400,2023-09-02 02:00:00,1.693602e+12
2023-09-02,"03:00:00",2800,2023-09-02 03:00:00,1693605600000
2023-09-02,"04:00:00",2800,2023-09-02 04:00:00,1693609200000
2023-09-02,"05:00:00",2800,2023-09-02 05:00:00,1693612800000
2023-09-02,"06:00:00",2800,2023-09-02 06:00:00,1693616400000
2023-09-02,"07:00:00",2800,2023-09-02 07:00:00,1.69362e+12
2023-09-02,"08:00:00",2800,2023-09-02 08:00:00,1693623600000
2023-09-02,"09:00:00",2900,2023-09-02 09:00:00,1693627200000
2023-09-02,"10:00:00",2900,2023-09-02 10:00:00,1693630800000
2023-09-02,"11:00:00",2900,2023-09-02 11:00:00,1693634400000
2023-09-02,"12:00:00",2900,2023-09-02 12:00:00,1.693638e+12
2023-09-02,"13:00:00",2900,2023-09-02 13:00:00,1693641600000
2023-09-02,"14:00:00",2900,2023-09-02 14:00:00,1693645200000
2023-09-02,"15:00:00",2900,2023-09-02 15:00:00,1693648800000
2023-09-02,"16:00:00",2800,2023-09-02 16:00:00,1693652400000
2023-09-02,"17:00:00",2800,2023-09-02 17:00:00,1.693656e+12
2023-09-02,"18:00:00",2800,2023-09-02 18:00:00,1693659600000
2023-09-02,"19:00:00",2800,2023-09-02 19:00:00,1693663200000
2023-09-02,"20:00:00",2800,2023-09-02 20:00:00,1693666800000
2023-09-02,"21:00:00",2800,2023-09-02 21:00:00,1693670400000
2023-09-02,"22:00:00",2800,2023-09-02 22:00:00,1.693674e+12
2023-09-02,"23:00:00",2800,2023-09-02 23:00:00,1693677600000
2023-09-02,"24:00:00",2800,2023-09-03,1693681200000
2023-09-03,"01:00:00",2800,2023-09-03 01:00:00,1693684800000
2023-09-03,"02:00:00",2800,2023-09-03 02:00:00,1693688400000
2023-09-03,"03:00:00",2800,2023-09-03 03:00:00,1.693692e+12
2023-09-03,"04:00:00",2300,2023-09-03 04:00:00,1693695600000
2023-09-03,"05:00:00",2300,2023-09-03 05:00:00,1693699200000
2023-09-03,"06:00:00",2300,2023-09-03 06:00:00,1693702800000
2023-09-03,"07:00:00",2300,2023-09-03 07:00:00,1693706400000
2023-09-03,"08:00:00",2400,2023-09-03 08:00:00,1.69371e+12
2023-09-03,"09:00:00",2500,2023-09-03 09:00:00,1693713600000
2023-09-03,"10:00:00",2500,2023-09-03 10:00:00,1693717200000
2023-09-03,"11:00:00",2900,2023-09-03 11:00:00,1693720800000
2023-09-03,"12:00:00",2900,2023-09-03 12:00:00,1693724400000
2023-09-03,"13:00:00",2900,2023-09-03 13:00:00,1.693728e+12
2023-09-03,"14:00:00",2900,2023-09-03 14:00:00,1693731600000
2023-09-03,"15:00:00",2900,2023-09-03 15:00:00,1693735200000
2023-09-03,"16:00:00",2800,2023-09-03 16:00:00,1693738800000
2023-09-03,"17:00:00",2800,2023-09-03 17:00:00,1693742400000
2023-09-03,"18:00:00",2800,2023-09-03 18:00:00,1.693746e+12
2023-09-03,"19:00:00",2800,2023-09-03 19:00:00,1693749600000
2023-09-03,"20:00:00",2800,2023-09-03 20:00:00,1693753200000
2023-09-03,"21:00:00",2800,2023-09-03 21:00:00,1693756800000
2023-09-03,"22:00:00",2800,2023-09-03 22:00:00,1693760400000
2023-09-03,"23:00:00",2800,2023-09-03 23:00:00,1.693764e+12
2023-09-03,"24:00:00",2800,2023-09-04,1693767600000
2023-09-04,"01:00:00",2800,2023-09-04 01:00:00,1693771200000
2023-09-04,"02:00:00",2800,2023-09-04 02:00:00,1693774800000
2023-09-04,"03:00:00",2400,2023-09-04 03:00:00,1693778400000
2023-09-04,"04:00:00",2800,2023-09-04 04:00:00,1.693782e+12
2023-09-04,"05:00:00",2800,2023-09-04 05:00:00,1693785600000
2023-09-04,"06:00:00",2800,2023-09-04 06:00:00,1693789200000
2023-09-04,"07:00:00",2800,2023-09-04 07:00:00,1693792800000
2023-09-04,"08:00:00",2800,2023-09-04 08:00:00,1693796400000
2023-09-04,"09:00:00",2800,2023-09-04 09:00:00,1.6938e+12
2023-09-04,"10:00:00",2800,2023-09-04 10:00:00,1693803600000
2023-09-04,"11:00:00",2800,2023-09-04 11:00:00,1693807200000
2023-09-04,"12:00:00",2800,2023-09-04 12:00:00,1693810800000
2023-09-04,"13:00:00",2800,2023-09-04 13:00:00,1693814400000
2023-09-04,"14:00:00",2800,2023-09-04 14:00:00,1.693818e+12
2023-09-04,"15:00:00",2800,2023-09-04 15:00:00,1693821600000
2023-09-04,"16:00:00",2800,2023-09-04 16:00:00,1693825200000
2023-09-04,"17:00:00",2800,2023-09-04 17:00:00,1693828800000
2023-09-04,"18:00:00",2800,2023-09-04 18:00:00,1693832400000
2023-09-04,"19:00:00",2800,2023-09-04 19:00:00,1.693836e+12
2023-09-04,"20:00:00",2800,2023-09-04 20:00:00,1693839600000
2023-09-04,"21:00:00",2800,2023-09-04 21:00:00,1693843200000
2023-09-04,"22:00:00",2800,2023-09-04 22:00:00,1693846800000
2023-09-04,"23:00:00",2900,2023-09-04 23:00:00,1693850400000
2023-09-04,"24:00:00",2900,2023-09-05,1.693854e+12
2023-09-05,"01:00:00",2900,2023-09-05 01:00:00,1693857600000
2023-09-05,"02:00:00",2200,2023-09-05 02:00:00,1693861200000
2023-09-05,"03:00:00",1800,2023-09-05 03:00:00,1693864800000
2023-09-05,"04:00:00",1700,2023-09-05 04:00:00,1693868400000
2023-09-05,"05:00:00",1200,2023-09-05 05:00:00,1.693872e+12
2023-09-05,"06:00:00",1200,2023-09-05 06:00:00,1693875600000
2023-09-05,"07:00:00",1500,2023-09-05 07:00:00,1693879200000
2023-09-05,"08:00:00",1900,2023-09-05 08:00:00,1693882800000
2023-09-05,"09:00:00",1600,2023-09-05 09:00:00,1693886400000
2023-09-05,"10:00:00",1600,2023-09-05 10:00:00,1.69389e+12
2023-09-05,"11:00:00",2000,2023-09-05 11:00:00,1693893600000
2023-09-05,"12:00:00",2500,2023-09-05 12:00:00,1693897200000
2023-09-05,"13:00:00",2550,2023-09-05 13:00:00,1693900800000
2023-09-05,"14:00:00",2700,2023-09-05 14:00:00,1693904400000
2023-09-05,"15:00:00",2800,2023-09-05 15:00:00,1.693908e+12
2023-09-05,"16:00:00",2800,2023-09-05 16:00:00,1693911600000
2023-09-05,"17:00:00",2800,2023-09-05 17:00:00,1693915200000
2023-09-05,"18:00:00",2800,2023-09-05 18:00:00,1693918800000
2023-09-05,"19:00:00",2800,2023-09-05 19:00:00,1693922400000
2023-09-05,"20:00:00",2800,2023-09-05 20:00:00,1.693926e+12
2023-09-05,"21:00:00",2800,2023-09-05 21:00:00,1693929600000
2023-09-05,"22:00:00",2800,2023-09-05 22:00:00,1693933200000
2023-09-05,"23:00:00",2800,2023-09-05 23:00:00,1693936800000
2023-09-05,"24:00:00",2800,2023-09-06,1693940400000
2023-09-06,"01:00:00",2800,2023-09-06 01:00:00,1.693944e+12
2023-09-06,"02:00:00",2800,2023-09-06 02:00:00,1693947600000
2023-09-06,"03:00:00",2500,2023-09-06 03:00:00,1693951200000
2023-09-06,"04:00:00",2500,2023-09-06 04:00:00,1693954800000
2023-09-06,"05:00:00",2500,2023-09-06 05:00:00,1693958400000
2023-09-06,"06:00:00",2500,2023-09-06 06:00:00,1.693962e+12
2023-09-06,"07:00:00",2500,2023-09-06 07:00:00,1693965600000
2023-09-06,"08:00:00",2500,2023-09-06 08:00:00,1693969200000
2023-09-06,"09:00:00",2000,2023-09-06 09:00:00,1693972800000
2023-09-06,"10:00:00",2000,2023-09-06 10:00:00,1693976400000
2023-09-06,"11:00:00",2000,2023-09-06 11:00:00,1.69398e+12
2023-09-06,"12:00:00",2000,2023-09-06 12:00:00,1693983600000
2023-09-06,"13:00:00",2000,2023-09-06 13:00:00,1693987200000
2023-09-06,"14:00:00",2300,2023-09-06 14:00:00,1693990800000
2023-09-06,"15:00:00",2500,2023-09-06 15:00:00,1693994400000
2023-09-06,"16:00:00",2500,2023-09-06 16:00:00,1.693998e+12
2023-09-06,"17:00:00",2500,2023-09-06 17:00:00,1694001600000
2023-09-06,"18:00:00",2800,2023-09-06 18:00:00,1694005200000
2023-09-06,"19:00:00",2800,2023-09-06 19:00:00,1694008800000
2023-09-06,"20:00:00",2800,2023-09-06 20:00:00,1694012400000
2023-09-06,"21:00:00",2800,2023-09-06 21:00:00,1.694016e+12
2023-09-06,"22:00:00",2800,2023-09-06 22:00:00,1694019600000
2023-09-06,"23:00:00",2800,2023-09-06 23:00:00,1694023200000
2023-09-06,"24:00:00",2900,2023-09-07,1694026800000
2023-09-07,"01:00:00",2900,2023-09-07 01:00:00,1694030400000
2023-09-07,"02:00:00",2900,2023-09-07 02:00:00,1.694034e+12
2023-09-07,"03:00:00",2900,2023-09-07 03:00:00,1694037600000
2023-09-07,"04:00:00",2900,2023-09-07 04:00:00,1694041200000
2023-09-07,"05:00:00",2900,2023-09-07 05:00:00,1694044800000
2023-09-07,"06:00:00",3000,2023-09-07 06:00:00,1694048400000
2023-09-07,"07:00:00",3000,2023-09-07 07:00:00,1.694052e+12
2023-09-07,"08:00:00",3000,2023-09-07 08:00:00,1694055600000
2023-09-07,"09:00:00",2900,2023-09-07 09:00:00,1694059200000
2023-09-07,"10:00:00",2800,2023-09-07 10:00:00,1694062800000
2023-09-07,"11:00:00",2800,2023-09-07 11:00:00,1694066400000
2023-09-07,"12:00:00",2800,2023-09-07 12:00:00,1.69407e+12
2023-09-07,"13:00:00",2800,2023-09-07 13:00:00,1694073600000
2023-09-07,"14:00:00",2800,2023-09-07 14:00:00,1694077200000
2023-09-07,"15:00:00",2800,2023-09-07 15:00:00,1694080800000
2023-09-07,"16:00:00",2800,2023-09-07 16:00:00,1694084400000
2023-09-07,"17:00:00",2500,2023-09-07 17:00:00,1.694088e+12
2023-09-07,"18:00:00",2800,2023-09-07 18:00:00,1694091600000
2023-09-07,"19:00:00",2800,2023-09-07 19:00:00,1694095200000
2023-09-07,"20:00:00",2800,2023-09-07 20:00:00,1694098800000
2023-09-07,"21:00:00",2800,2023-09-07 21:00:00,1694102400000
2023-09-07,"22:00:00",2800,2023-09-07 22:00:00,1.694106e+12
2023-09-07,"23:00:00",2800,2023-09-07 23:00:00,1694109600000
2023-09-07,"24:00:00",2800,2023-09-08,1694113200000
2023-09-08,"01:00:00",2900,2023-09-08 01:00:00,1694116800000
2023-09-08,"02:00:00",3000,2023-09-08 02:00:00,1694120400000
2023-09-08,"03:00:00",3000,2023-09-08 03:00:00,1.694124e+12
2023-09-08,"04:00:00",3000,2023-09-08 04:00:00,1694127600000
2023-09-08,"05:00:00",3000,2023-09-08 05:00:00,1694131200000
2023-09-08,"06:00:00",3000,2023-09-08 06:00:00,1694134800000
2023-09-08,"07:00:00",3000,2023-09-08 07:00:00,1694138400000
2023-09-08,"08:00:00",2800,2023-09-08 08:00:00,1.694142e+12
2023-09-08,"09:00:00",2800,2023-09-08 09:00:00,1694145600000
2023-09-08,"10:00:00",2900,2023-09-08 10:00:00,1694149200000
2023-09-08,"11:00:00",2800,2023-09-08 11:00:00,1694152800000
2023-09-08,"12:00:00",2800,2023-09-08 12:00:00,1694156400000
2023-09-08,"13:00:00",2800,2023-09-08 13:00:00,1.69416e+12
2023-09-08,"14:00:00",2800,2023-09-08 14:00:00,1694163600000
2023-09-08,"15:00:00",2800,2023-09-08 15:00:00,1694167200000
2023-09-08,"16:00:00",2800,2023-09-08 16:00:00,1694170800000
2023-09-08,"17:00:00",2800,2023-09-08 17:00:00,1694174400000
2023-09-08,"18:00:00",2800,2023-09-08 18:00:00,1.694178e+12
2023-09-08,"19:00:00",2800,2023-09-08 19:00:00,1694181600000
2023-09-08,"20:00:00",2800,2023-09-08 20:00:00,1694185200000
2023-09-08,"21:00:00",2800,2023-09-08 21:00:00,1694188800000
2023-09-08,"22:00:00",2800,2023-09-08 22:00:00,1694192400000
2023-09-08,"23:00:00",2800,2023-09-08 23:00:00,1.694196e+12
2023-09-08,"24:00:00",2900,2023-09-09,1694199600000
2023-09-09,"01:00:00",2800,2023-09-09 01:00:00,1694203200000
2023-09-09,"02:00:00",2800,2023-09-09 02:00:00,1694206800000
2023-09-09,"03:00:00",2800,2023-09-09 03:00:00,1694210400000
2023-09-09,"04:00:00",2800,2023-09-09 04:00:00,1.694214e+12
2023-09-09,"05:00:00",2500,2023-09-09 05:00:00,1694217600000
2023-09-09,"06:00:00",2500,2023-09-09 06:00:00,1694221200000
2023-09-09,"07:00:00",2700,2023-09-09 07:00:00,1694224800000
2023-09-09,"08:00:00",2500,2023-09-09 08:00:00,1694228400000
2023-09-09,"09:00:00",2500,2023-09-09 09:00:00,1.694232e+12
2023-09-09,"10:00:00",2500,2023-09-09 10:00:00,1694235600000
2023-09-09,"11:00:00",2500,2023-09-09 11:00:00,1694239200000
2023-09-09,"12:00:00",2500,2023-09-09 12:00:00,1694242800000
2023-09-09,"13:00:00",2500,2023-09-09 13:00:00,1694246400000
2023-09-09,"14:00:00",2500,2023-09-09 14:00:00,1.69425e+12
2023-09-09,"15:00:00",2500,2023-09-09 15:00:00,1694253600000
2023-09-09,"16:00:00",2500,2023-09-09 16:00:00,1694257200000
2023-09-09,"17:00:00",2500,2023-09-09 17:00:00,1694260800000
2023-09-09,"18:00:00",2500,2023-09-09 18:00:00,1694264400000
2023-09-09,"19:00:00",2500,2023-09-09 19:00:00,1.694268e+12
2023-09-09,"20:00:00",2500,2023-09-09 20:00:00,1694271600000
2023-09-09,"21:00:00",2800,2023-09-09 21:00:00,1694275200000
2023-09-09,"22:00:00",2800,2023-09-09 22:00:00,1694278800000
2023-09-09,"23:00:00",2800,2023-09-09 23:00:00,1694282400000
2023-09-09,"24:00:00",2800,2023-09-10,1.694286e+12
2023-09-10,"01:00:00",2800,2023-09-10 01:00:00,1694289600000
2023-09-10,"02:00:00",2800,2023-09-10 02:00:00,1694293200000
2023-09-10,"03:00:00",2800,2023-09-10 03:00:00,1694296800000
2023-09-10,"04:00:00",3000,2023-09-10 04:00:00,1694300400000
2023-09-10,"05:00:00",3000,2023-09-10 05:00:00,1.694304e+12
2023-09-10,"06:00:00",2800,2023-09-10 06:00:00,1694307600000
2023-09-10,"07:00:00",2800,2023-09-10 07:00:00,1694311200000
2023-09-10,"08:00:00",2800,2023-09-10 08:00:00,1694314800000
2023-09-10,"09:00:00",2800,2023-09-10 09:00:00,1694318400000
2023-09-10,"10:00:00",2800,2023-09-10 10:00:00,1.694322e+12
2023-09-10,"11:00:00",2800,2023-09-10 11:00:00,1694325600000
2023-09-10,"12:00:00",2800,2023-09-10 12:00:00,1694329200000
2023-09-10,"13:00:00",2800,2023-09-10 13:00:00,1694332800000
2023-09-10,"14:00:00",2800,2023-09-10 14:00:00,1694336400000
2023-09-10,"15:00:00",2800,2023-09-10 15:00:00,1.69434e+12
2023-09-10,"16:00:00",2800,2023-09-10 16:00:00,1694343600000
2023-09-10,"17:00:00",2800,2023-09-10 17:00:00,1694347200000
2023-09-10,"18:00:00",2800,2023-09-10 18:00:00,1694350800000
2023-09-10,"19:00:00",2800,2023-09-10 19:00:00,1694354400000
2023-09-10,"20:00:00",2800,2023-09-10 20:00:00,1.694358e+12
2023-09-10,"21:00:00",2800,2023-09-10 21:00:00,1694361600000
2023-09-10,"22:00:00",2800,2023-09-10 22:00:00,1694365200000
2023-09-10,"23:00:00",3000,2023-09-10 23:00:00,1694368800000
2023-09-10,"24:00:00",3000,2023-09-11,1694372400000
2023-09-11,"01:00:00",3000,2023-09-11 01:00:00,1.694376e+12
2023-09-11,"02:00:00",3000,2023-09-11 02:00:00,1694379600000
2023-09-11,"03:00:00",2800,2023-09-11 03:00:00,1694383200000
2023-09-11,"04:00:00",2800,2023-09-11 04:00:00,1694386800000
2023-09-11,"05:00:00",2800,2023-09-11 05:00:00,1694390400000
2023-09-11,"06:00:00",2800,2023-09-11 06:00:00,1.694394e+12
2023-09-11,"07:00:00",2800,2023-09-11 07:00:00,1694397600000
2023-09-11,"08:00:00",2800,2023-09-11 08:00:00,1694401200000
2023-09-11,"09:00:00",2800,2023-09-11 09:00:00,1694404800000
2023-09-11,"10:00:00",2800,2023-09-11 10:00:00,1694408400000
2023-09-11,"11:00:00",2800,2023-09-11 11:00:00,1.694412e+12
2023-09-11,"12:00:00",2800,2023-09-11 12:00:00,1694415600000
2023-09-11,"13:00:00",2800,2023-09-11 13:00:00,1694419200000
2023-09-11,"14:00:00",2800,2023-09-11 14:00:00,1694422800000
2023-09-11,"15:00:00",2800,2023-09-11 15:00:00,1694426400000
2023-09-11,"16:00:00",2800,2023-09-11 16:00:00,1.69443e+12
2023-09-11,"17:00:00",2800,2023-09-11 17:00:00,1694433600000
2023-09-11,"18:00:00",2800,2023-09-11 18:00:00,1694437200000
2023-09-11,"19:00:00",2800,2023-09-11 19:00:00,1694440800000
2023-09-11,"20:00:00",2800,2023-09-11 20:00:00,1694444400000
2023-09-11,"21:00:00",2800,2023-09-11 21:00:00,1.694448e+12
2023-09-11,"22:00:00",2950,2023-09-11 22:00:00,1694451600000
2023-09-11,"23:00:00",2950,2023-09-11 23:00:00,1694455200000
2023-09-11,"24:00:00",2950,2023-09-12,1694458800000
2023-09-12,"01:00:00",2800,2023-09-12 01:00:00,1694462400000
2023-09-12,"02:00:00",2800,2023-09-12 02:00:00,1.694466e+12
2023-09-12,"03:00:00",2800,2023-09-12 03:00:00,1694469600000
2023-09-12,"04:00:00",2800,2023-09-12 04:00:00,1694473200000
2023-09-12,"05:00:00",2800,2023-09-12 05:00:00,1694476800000
2023-09-12,"06:00:00",2800,2023-09-12 06:00:00,1694480400000
2023-09-12,"07:00:00",2800,2023-09-12 07:00:00,1.694484e+12
2023-09-12,"08:00:00",2800,2023-09-12 08:00:00,1694487600000
2023-09-12,"09:00:00",2900,2023-09-12 09:00:00,1694491200000
2023-09-12,"10:00:00",2900,2023-09-12 10:00:00,1694494800000
2023-09-12,"11:00:00",2900,2023-09-12 11:00:00,1694498400000
2023-09-12,"12:00:00",2900,2023-09-12 12:00:00,1.694502e+12
2023-09-12,"13:00:00",2900,2023-09-12 13:00:00,1694505600000
2023-09-12,"14:00:00",2900,2023-09-12 14:00:00,1694509200000
2023-09-12,"15:00:00",2900,2023-09-12 15:00:00,1694512800000
2023-09-12,"16:00:00",2900,2023-09-12 16:00:00,1694516400000
2023-09-12,"17:00:00",2900,2023-09-12 17:00:00,1.69452e+12
2023-09-12,"18:00:00",2900,2023-09-12 18:00:00,1694523600000
2023-09-12,"19:00:00",2900,2023-09-12 19:00:00,1694527200000
2023-09-12,"20:00:00",2900,2023-09-12 20:00:00,1694530800000
2023-09-12,"21:00:00",2900,2023-09-12 21:00:00,1694534400000
2023-09-12,"22:00:00",2900,2023-09-12 22:00:00,1.694538e+12
2023-09-12,"23:00:00",3000,2023-09-12 23:00:00,1694541600000
2023-09-12,"24:00:00",3000,2023-09-13,1694545200000
